table_name,column_name,column_type,key_type
abandoned_checkout,abandoned_checkout_url,string,
abandoned_checkout,billing_address_address1,string,
abandoned_checkout,billing_address_address2,string,
abandoned_checkout,billing_address_city,string,
abandoned_checkout,billing_address_company,string,
abandoned_checkout,billing_address_country,string,
abandoned_checkout,billing_address_country_code,string,
abandoned_checkout,billing_address_default,boolean,
abandoned_checkout,billing_address_first_name,string,
abandoned_checkout,billing_address_id,string,
abandoned_checkout,billing_address_last_name,string,
abandoned_checkout,billing_address_latitude,double,
abandoned_checkout,billing_address_longitude,double,
abandoned_checkout,billing_address_name,string,
abandoned_checkout,billing_address_phone,string,
abandoned_checkout,billing_address_province,string,
abandoned_checkout,billing_address_province_code,string,
abandoned_checkout,billing_address_zip,string,
